date,trigger,from_hb,from_bb,to_hb,to_bb,score
2019-01-01,macro-bearish,1.0,0.0,0.15,0.85,72.55190161376946
2019-02-01,macro-bearish,0.15,0.85,0.4,0.6,62.905540904682454
2019-03-01,macro-release,0.4,0.6,1.0,0.0,26.80887241926615
2020-04-01,macro-bearish,1.0,0.0,0.15,0.85,72.57175775571979
2020-05-01,macro-bearish,0.15,0.85,0.4,0.6,68.77589897490773
2020-06-01,macro-release,0.4,0.6,1.0,0.0,33.35016785354424
2022-10-01,macro-bearish,1.0,0.0,0.4,0.6,69.3977087462327
2022-11-01,macro-bearish,0.4,0.6,0.75,0.25,57.85133234745972
2022-12-01,macro-release,0.75,0.25,1.0,0.0,40.3847440216363
