date,score
2015-11-01,39.75664401802672
2015-12-01,29.877151443724753
2016-01-01,56.331682289306706
2016-02-01,56.175951716148845
2016-03-01,49.37035226834576
2016-04-01,24.015191925258733
2016-05-01,25.94507879225588
2016-06-01,36.93522009207101
2016-07-01,39.87804582619131
2016-08-01,37.478084104003194
2016-09-01,34.79723938024048
2016-10-01,38.34026115777841
2016-11-01,52.62327753002213
2016-12-01,31.1946337566088
2017-01-01,39.838735587617855
2017-02-01,29.209137462230277
2017-03-01,39.85854923781492
2017-04-01,42.238513485126376
2017-05-01,38.04342918295733
2017-06-01,33.98770554227926
2017-07-01,35.74285344562658
2017-08-01,39.98359716738891
2017-09-01,34.704959938949784
2017-10-01,33.33508731945277
2017-11-01,29.64128893053084
2017-12-01,33.237543215238006
2018-01-01,42.870049118332446
2018-02-01,43.89538259878658
2018-03-01,48.805329938143004
2018-04-01,50.96735172507798
2018-05-01,37.433737729767564
2018-06-01,41.09704365910287
2018-07-01,37.35416448796517
2018-08-01,44.98981072988977
2018-09-01,42.50350362410028
2018-10-01,37.85833237454756
2018-11-01,65.83686989583805
2018-12-01,51.153946769905225
2019-01-01,72.55188935687833
2019-02-01,62.90554996765436
2019-03-01,26.80886434825856
2019-04-01,26.66376559837984
2019-05-01,32.08362166505299
2019-06-01,69.48826166468706
2019-07-01,48.76749802172685
2019-08-01,54.531768939440894
2019-09-01,57.31436927174853
2019-10-01,61.37496822756323
2019-11-01,28.88415481347002
2019-12-01,33.3269434251155
2020-01-01,30.221208344554494
2020-02-01,53.97785045435041
2020-03-01,78.01509714058517
2020-04-01,72.57175760909313
2020-05-01,68.77589850171113
2020-06-01,33.35015853173665
2020-07-01,31.717205236561853
2020-08-01,24.24151316688344
2020-09-01,35.89937039642368
2020-10-01,39.38672140633846
2020-11-01,46.68184563162652
2020-12-01,29.15477760539813
2021-01-01,39.912022009379925
2021-02-01,48.894170558771904
2021-03-01,38.86084139505831
2021-04-01,28.31917158512659
2021-05-01,34.42139852184986
2021-06-01,34.549369472021354
2021-07-01,41.56837757338487
2021-08-01,46.0560786540783
2021-09-01,43.8702455207081
2021-10-01,48.54113072794008
2021-11-01,37.93097535792918
2021-12-01,52.977154478680056
2022-01-01,35.66823032851089
2022-02-01,48.63569089925089
2022-03-01,72.69906106992758
2022-04-01,42.57296255991311
2022-05-01,68.85201739479572
2022-06-01,50.66664782539302
2022-07-01,77.51918764107543
2022-08-01,59.347041364680145
2022-09-01,66.32607469153814
2022-10-01,69.39770665867067
2022-11-01,57.851329375806884
2022-12-01,40.38473913918379
2023-01-01,59.734540524149615
2023-02-01,33.45504759075069
2023-03-01,33.21079519342534
2023-04-01,40.652472644561016
2023-05-01,37.07059397880516
2023-06-01,29.6707743902273
2023-07-01,34.2726161870222
2023-08-01,32.06595819522619
2023-09-01,37.43067338089159
2023-10-01,48.89420117280429
2023-11-01,49.420663442143166
2023-12-01,39.543504289352875
2024-01-01,39.9754881710375
2024-02-01,45.92988400903825
2024-03-01,40.33683575662932
2024-04-01,38.536093490098146
2024-05-01,43.78945268599005
2024-06-01,32.32560931463037
2024-07-01,34.572749781780296
2024-08-01,59.2465252230053
2024-09-01,49.45837232285252
2024-10-01,50.67245100716109
2024-11-01,38.301033079192024
2024-12-01,26.786456192585433
2025-01-01,28.840454749003424
2025-02-01,40.25286166628652
2025-03-01,49.443736887634685
2025-04-01,75.42118443866812
2025-05-01,70.88931274974684
2025-06-01,32.25232405293521
2025-07-01,26.672850006455967
2025-08-01,28.694412553099024
2025-09-01,36.159876868526595
2025-10-01,37.336393740766916
2025-11-01,38.89487959053453
2025-12-01,40.730613670514046
