date,cash,positions_value,total_value
2024-07-01,-5.684341886080802e-14,478859.9158749403,478859.9158749403
2024-08-01,0.0,440175.5840063984,440175.5840063984
2024-09-01,0.0,462061.9397213055,462061.9397213055
2024-10-01,0.0,469017.5396395644,469017.5396395644
2024-11-01,0.0,477146.08227881906,477146.08227881906
2024-12-01,0.0,504499.94124178984,504499.94124178984
2025-01-01,0.0,480730.7981532148,480730.7981532148
2025-02-01,0.0,503588.18914164684,503588.18914164684
2025-03-01,0.0,481606.879584855,481606.879584855
2025-04-01,20972.06042861268,409866.4793777466,430838.5398063593
2025-05-01,6853.931232896068,422853.49763679504,429707.4288696911
2025-06-01,0.0,442254.9601550099,442254.9601550099
2025-07-01,0.0,486759.6979144692,486759.6979144692
2025-08-01,0.0,487164.67547368945,487164.67547368945
2025-09-01,0.0,501290.5016919638,501290.5016919638
2025-10-01,0.0,567897.1478129253,567897.1478129253
2025-11-01,0.0,592396.9945870047,592396.9945870047
2025-12-01,0.0,581323.2435168638,581323.2435168638
