date,Original (Quarterly),Buy & Hold,Compounders,True Buffett,Market Regime,Earnings Growth,SPY_Benchmark
2019-09-27,78207.39753593862,167894.8501414639,39947.99211447047,129304.47953781422,19015.172555931167,27652.73769643855,180801.72471182258
2019-09-30,78937.21073402822,168901.1634692532,40072.55898420619,130389.01716598804,19058.8745212632,27693.377783566237,181640.23781358977
2019-10-01,78407.00071587026,166196.6167277676,39404.46559088038,128979.07864364918,18771.867298133926,27379.4963462646,179479.6777943353
2019-10-02,77157.72998299063,163524.3315715176,38765.15307752894,126420.77801880176,18502.96624097495,26868.26870992732,176309.23960077632
2019-10-03,76526.66509117544,163579.31713670315,38904.471015379895,126770.19895538624,18377.34284505515,26899.208912640333,177753.77792799022
2019-10-04,77033.67229713858,165580.47060578884,39147.313552306165,128500.21764740284,18573.998660179663,26988.126444607497,180159.07496453793
2019-10-07,77061.02600731314,164946.8526553494,38870.08232633876,128093.6881178313,18552.12879666953,26781.41893652034,179381.807567634
2019-10-08,76474.04691948355,162773.96594804348,38266.153325484265,126607.24332031544,18183.12970560553,26379.48253515315,176596.8895785005
2019-10-09,76280.39554466665,163737.54845231594,38460.7173094015,127950.77575287159,18306.139278588318,26564.69711378169,178273.93626554825
2019-10-10,76622.0566088146,164970.19017594875,38614.1995901327,128995.96502289112,18397.761985744764,26621.36531904292,179479.6777943353
2019-10-11,77033.50851311148,166631.5582599026,39521.23176519679,131167.33910736378,18796.944854702284,27417.10145261836,181340.29772786627
2019-10-14,76854.27750267446,166820.73017304958,39280.545234129895,131341.97433838184,18779.19943424635,27299.601359158278,181138.4327039774
2019-10-15,77253.46916450918,167901.03346437038,39533.142320082654,131929.2959631377,18997.057975244945,27484.27710798335,182931.72332918542
2019-10-16,76916.64563240469,167506.8943652493,39323.26517431544,131956.23550400074,18884.3187078957,27366.961056500197,182637.90781394823
2019-10-17,78032.5497766918,167756.29172318996,39268.76820318507,131866.15694031055,18931.916816187328,27335.860169201613,183176.54228053195
2019-10-18,78172.66322960317,168054.4698161465,39127.80209295558,132087.45057663257,18951.288676691478,27204.002411633253,182374.75611816937
2019-10-21,78280.85592140615,168740.83717530788,39346.52936498927,133638.9762075835,19245.1810831551,27458.459563046217,183611.03856533472
2019-10-22,78106.67625679434,169115.6296939236,39686.64255087184,133904.18627533253,19221.781706409136,27628.356915264845,183011.28129496772
2019-10-23,78190.82999290884,169631.04773515285,39762.85772459315,133932.12345489796,19190.384083347002,27650.612580090285,183543.75022403843
2019-10-24,78137.10143532217,169980.25137895168,39600.88515798854,134305.46989807423,19079.967083530108,27465.976893215895,183843.69030976194
2019-10-25,78964.79004539907,170775.83021730007,40320.22883741664,134917.77068313892,16908.194684105856,27818.570755749464,184596.47990823386
2019-10-28,79350.25594582022,171807.8643702847,40443.177392409314,134508.7468565398,17160.91596407708,27735.632082730055,185636.98093496996
2019-10-29,79478.0100122875,170852.49114793362,40711.646142409314,134785.27902206714,17190.391435608966,27855.38216093135,185581.921251133
2019-10-30,79406.3749643749,170794.85853379787,40724.484616682996,135181.61169800098,17215.356226309737,27881.404658108473,186151.15808663503
2019-10-31,79213.19989647329,169589.42075151028,40823.067290709485,134895.44798645313,17454.674061012785,27945.40629270625,185655.35464642895
2019-11-01,79197.76506676138,171182.09880631985,41580.39210264491,136626.0216864043,17588.487195026624,28430.48197820735,187375.2528433677
2019-11-04,79247.82734932363,171657.6891497952,42347.365380690564,137340.293590396,17792.40440555869,28916.709173947096,188128.06292535295
2019-11-05,79508.49055733145,171628.9346751553,42789.15724127101,137477.63257965381,18548.103715339486,29309.67289808345,187920.01188043773
2019-11-06,78570.33126320303,172852.75194734157,42087.68812887477,137656.54886612232,18697.750354721793,28841.113978176832,187962.82242330204
2019-11-07,78651.34680046499,173396.71694367946,42320.659715102185,137826.52762970264,18724.31583108752,29146.715187817335,188623.86636555902
2019-11-08,78669.91192116201,174356.58539384426,42390.99188368129,138923.6312139922,18197.468489540544,29156.10763624263,189088.98550279342
2019-11-11,79365.01439155996,174745.41100877346,42210.52936880397,138813.14734253223,18072.191130879957,28982.287201672316,188727.92261328662
2019-11-12,79667.17708839834,174793.32847779812,42271.9357847433,138315.13700470264,18005.47633631932,28984.960734158278,189125.71244219807
2019-11-13,79438.02715935171,174078.81145280422,41733.66965620326,138116.21652206714,17858.27234959944,28728.852392941237,189186.95814706138
2019-11-14,78991.17808403433,173982.42791169704,41541.233487532605,137784.57724746998,17810.33803802533,28710.034786968947,189462.37946732625
2019-11-15,79478.56117882192,175605.55710786404,41569.319953368176,138868.63353714283,17925.456927916333,28877.43998601985,190833.4434322175
2019-11-18,79063.20279945791,175222.6279048306,41240.82534735011,138704.92451843555,17929.321258697197,28798.29050138545,190974.14468529643
2019-11-19,79224.8487459606,174877.439001022,40775.17585127162,139430.77622207935,17937.31923889393,28498.80287817073,190919.08500145943
2019-11-20,78330.66572060049,173935.61807435573,40835.667291090955,138762.50371918018,18025.526778220763,28269.74357297969,190209.04449531183
2019-11-21,78290.27707924307,173340.6271800381,40792.65838568019,138719.19000610645,17970.067822033325,28238.66934087825,189903.041289642
2019-11-22,78300.62765373648,173343.86277574123,40818.45206587123,138886.22541412647,18007.8686274212,28199.334412365675,190325.37036752544
2019-11-25,78752.13893379629,174892.9248828274,41086.644622252454,140304.44430908497,15968.65379623304,28565.683869152785,191800.4291296043
2019-11-26,78661.8723246044,175529.20151322903,40809.21449415492,140997.4472006255,15807.072777987352,28340.366698055983,192234.98686494707
2019-11-27,79268.56158317983,176098.31137651028,41057.75994436549,140815.234454959,15917.72774919715,28450.347288876295,193091.8736781733
2019-11-28,79268.56158317983,176098.31137651028,41057.75994436549,140815.234454959,15917.72774919715,28450.347288876295,193091.8736781733
2019-11-29,79338.9140230602,175133.68944352688,40840.75201742457,139759.144862979,15863.338701012875,28279.02692869258,192375.74956856598
