date,cash,positions_value,total_value
2014-07-04,100000.0,0.0,100000.0
2014-07-07,100000.0,0.0,100000.0
2014-07-08,100000.0,0.0,100000.0
2014-07-09,100000.0,0.0,100000.0
2014-07-10,100000.0,0.0,100000.0
2014-07-11,100000.0,0.0,100000.0
2014-07-14,100000.0,0.0,100000.0
2014-07-15,100000.0,0.0,100000.0
2014-07-16,100000.0,0.0,100000.0
2014-07-17,100000.0,0.0,100000.0
2014-07-18,100000.0,0.0,100000.0
2014-07-21,100000.0,0.0,100000.0
2014-07-22,100000.0,0.0,100000.0
2014-07-23,100000.0,0.0,100000.0
2014-07-24,100000.0,0.0,100000.0
2014-07-25,100000.0,0.0,100000.0
2014-07-28,100000.0,0.0,100000.0
2014-07-29,100000.0,0.0,100000.0
2014-07-30,100000.0,0.0,100000.0
2014-07-31,100000.0,0.0,100000.0
2014-08-01,100000.0,0.0,100000.0
2014-08-04,100000.0,0.0,100000.0
2014-08-05,100000.0,0.0,100000.0
2014-08-06,100000.0,0.0,100000.0
2014-08-07,100000.0,0.0,100000.0
2014-08-08,100000.0,0.0,100000.0
2014-08-11,100000.0,0.0,100000.0
2014-08-12,100000.0,0.0,100000.0
2014-08-13,100000.0,0.0,100000.0
2014-08-14,100000.0,0.0,100000.0
2014-08-15,100000.0,0.0,100000.0
2014-08-18,100000.0,0.0,100000.0
2014-08-19,100000.0,0.0,100000.0
2014-08-20,100000.0,0.0,100000.0
2014-08-21,100000.0,0.0,100000.0
2014-08-22,100000.0,0.0,100000.0
2014-08-25,100000.0,0.0,100000.0
2014-08-26,100000.0,0.0,100000.0
2014-08-27,100000.0,0.0,100000.0
2014-08-28,100000.0,0.0,100000.0
2014-08-29,100000.0,0.0,100000.0
2014-09-01,100000.0,0.0,100000.0
2014-09-02,100000.0,0.0,100000.0
2014-09-03,100000.0,0.0,100000.0
2014-09-04,100000.0,0.0,100000.0
2014-09-05,100000.0,0.0,100000.0
2014-09-08,100000.0,0.0,100000.0
2014-09-09,100000.0,0.0,100000.0
