Ticker,Sector,Total Return (%),CAGR (%),Beta,Volatility (%),Sharpe,Max Drawdown (%)
AAPL,Technology,1538.543057270736,26.310552696848543,1.2050245442866185,28.218462131107447,0.8615123171453448,-38.51590186923703
MSFT,Technology,1327.5305050520838,24.864415198455745,1.1818762998660546,26.44233353595738,0.8646897660285453,-37.148473695047876
GOOGL,Technology,1099.478110528125,23.062192731128484,1.151754517681596,28.219610388309853,0.7463672404156801,-44.32005493025624
GOOG,Technology,1107.2185195864847,23.128329139945535,1.149551122086549,28.201325383197407,0.7491963180047551,-44.60184888045276
AMZN,Consumer Discretionary,1285.5842029773703,24.55375077918811,1.1914294233529892,32.705127981958256,0.6896090054021455,-56.14526325328263
NVDA,Technology,52575.38107640986,68.78228420894897,1.751098088601078,47.17788849052587,1.4155420334752793,-66.3350830852517
META,Technology,1075.0347348638188,22.850742337941643,1.3088989687670851,37.228458541635526,0.5600753604832338,-76.73609109259182
TSLA,Consumer Discretionary,3598.9724967986945,35.19997515074109,1.5966462284711036,56.82750604737898,0.584223687787058,-73.63221744219119
BRK-B,Financials,339.6045594925833,13.165188452558008,0.8266029885489966,18.83929305606962,0.5926543219710052,-29.569936128511088
UNH,Health Care,391.6856769066516,14.228471821655898,0.7951261655629058,28.642080338426716,0.4269407695658882,-61.39086044933171
JNJ,Health Care,265.02945406980103,11.421598440344516,0.5015308679441787,17.924985486626692,0.5256126119250526,-27.36625543370571
V,Financials,560.8166365417579,17.084294213609887,1.035683412112138,23.98449935868971,0.62891845220629,-36.36492223391248
XOM,Energy,153.19699576973713,8.068607114540516,0.8316907928192154,26.740792780459643,0.22694192967139862,-62.395961375881726
JPM,Financials,671.1609882312725,18.60425849893581,1.103295070777552,26.527115250072182,0.6259353247575847,-43.626505326796114
PG,Consumer Staples,177.71609545504478,8.906179745408792,0.5064732717470418,18.074507407199132,0.38209504634455704,-25.464143927959565
MA,Financials,684.6873503730325,18.776641969323183,1.1418540456726889,26.106179130592544,0.6426310754017414,-40.99720769714311
HD,Consumer Discretionary,551.7721121086865,16.949594130519728,0.9492166752133226,23.76448972478451,0.6290728016317753,-37.99368804907296
CVX,Energy,158.86426330694556,8.268605212166147,0.9653755376285618,28.436421026594005,0.22044283302401835,-55.77392308563586
MRK,Health Care,220.49970648468422,10.217385346950781,0.5677594343388742,22.205038892999248,0.37006849600887387,-43.44339033866194
ABBV,Health Care,653.1117073600724,18.369866086433937,0.6742784969740935,26.44021145512682,0.6191276538849231,-45.08976855705453
PFE,Health Care,51.33394424419249,3.5212450035889242,0.6087741263786317,22.95825174400434,0.06626136086281939,-58.961994441754385
KO,Consumer Staples,188.71551191118866,9.260086795036472,0.5292529921836004,17.539943522934152,0.4139173416119401,-36.98751195025035
PEP,Consumer Staples,173.16088551441376,8.7558408036003,0.5722053147428724,18.59866334024648,0.36324335141768144,-30.322663382029514
COST,Consumer Staples,962.4811555283591,21.821854821797125,0.7052022328451897,21.06666408236019,0.9409109455727551,-31.402433351432524
TMO,Health Care,429.4356549573772,14.93643273641554,0.9018222001987536,25.060024637638804,0.5162178778142826,-40.95428944220338
AVGO,Technology,8269.77083973421,44.743105063584295,1.445902418369001,38.561256136088154,1.1084469062091182,-48.29997897663962
MCD,Consumer Discretionary,358.62422362230507,13.566255820603912,0.6324376556314515,19.73590434024662,0.5860514735581344,-36.89856301988342
WMT,Consumer Staples,515.0171582771303,16.383960797906095,0.5204160307116897,20.963713477688962,0.6861361091017821,-36.43517543572297
CSCO,Technology,425.26601684003145,14.860550428702979,0.9741546759848834,24.358159151056846,0.5279771081611062,-41.95111093094898
ACN,Technology,310.22278406884254,12.513208145035005,1.042539616875997,24.70778859874193,0.4255017847113325,-41.021444268105746
ABT,Health Care,282.58845331520547,11.859702185419296,0.7908086517117952,23.056964282034787,0.4276236049470591,-33.876776707342785
DHR,Health Care,640.3749810615299,18.20134508169291,0.8652140445502099,29.736992617999665,0.5448212362902599,-39.81719093712706
NEE,Utilities,421.71636442416104,14.795514812712618,0.6393877729433105,24.068511441627763,0.5316288397703772,-44.969719721634185
LLY,Health Care,2386.7950253184845,30.789589837994868,0.6944152994633886,28.494637796277345,1.010351141987706,-34.475003114834685
DIS,Communication Services,77.92519340977123,4.930442340243579,1.0042208341536338,27.286686780882025,0.10739458270531936,-60.715170288695916
VZ,Communication Services,73.95182868348229,4.732684757716821,0.4237660478994817,19.31003914818634,0.14151627227402502,-41.207106601051336
ADBE,Technology,404.02824543955205,14.465266840573765,1.2437833609073135,32.47584965219077,0.3838318927471965,-60.021498008468335
NKE,Consumer Discretionary,101.04023222020287,6.006432905497028,1.031096202415611,30.355237363510597,0.13198489794426968,-68.53427042911107
CRM,Technology,267.1662717133525,11.475932478614892,1.2468815139908624,34.67047624914794,0.2733141711270197,-58.61723995083929
CMCSA,Communication Services,55.891284824414655,3.7781126646794005,0.8397916269682046,24.885801126284672,0.07145089103847806,-52.11348800498865
INTC,Technology,167.42687987419762,8.563296231559603,1.2924121460222844,38.897746911727246,0.16873204112449094,-70.79732157296665
TXN,Technology,613.0911701615131,17.831220500494773,1.2055918430290884,29.14156139812208,0.5432523084200614,-33.41196962784868
PM,Consumer Staples,325.4815080935103,12.856952172271008,0.5910941232643029,22.789634704761642,0.47639869234071436,-42.868834420427454
QCOM,Technology,189.53092454805943,9.285828225803595,1.3197029597218568,35.926564790624134,0.20279779790426833,-45.079230364992945
RTX,Industrials,279.6675803293053,11.788120187354245,0.9166329808416783,26.103708996766738,0.37497047597974,-51.981957807198576
